City,Latitude,Longitude,Temperature,Max Temperature,Humidity,Cloudiness,Wind,Country,Date
New Norfolk,-42.7826,147.0587,53.8,54.91,50,100,4.97,AU,1635713599
Guerrero Negro,27.9769,-114.0611,72.52,72.52,57,100,12.5,MX,1635713624
Vaini,-21.2,-175.2,78.96,78.96,83,20,10.36,TO,1635713625
Biak,-0.9131,122.8766,75.94,75.94,81,84,0.65,ID,1635713625
Hobart,-42.8794,147.3294,54.54,55.26,67,75,5.01,AU,1635713418
Saskylakh,71.9167,114.0833,8.71,8.71,97,98,5.53,RU,1635713625
Irtyshskiy,58.3333,68.1333,24.46,24.46,96,100,7.9,RU,1635713626
Puerto Escondido,15.85,-97.0667,83.44,83.44,74,48,5.48,MX,1635713626
Cidreira,-30.1811,-50.2056,68.81,68.81,85,6,22.3,BR,1635713627
Mar del Plata,-38.0023,-57.5575,54.95,57.09,85,90,1.01,AR,1635713351
Hermanus,-34.4187,19.2345,62.91,62.91,84,100,10.58,ZA,1635713627
Neuquén,-38.9516,-68.0591,58.89,58.89,51,40,12.66,AR,1635713420
Yellowknife,62.456,-114.3525,33.28,34.41,94,75,10.36,CA,1635713628
Penzance,50.1186,-5.5371,52.81,52.81,71,89,29.33,GB,1635713628
Muskogee,35.5834,-95.3336,61.66,66.09,65,0,10.31,US,1635713629
Coari,-4.085,-63.1414,85.41,85.41,64,89,1.48,BR,1635713629
Caborca,30.5838,-111.101,82.65,82.65,17,17,12.59,MX,1635713629
Narsaq,60.9167,-46.05,26.98,26.98,69,82,6.71,GL,1635713630
Mahébourg,-20.4081,57.7,71.89,71.89,83,75,3.44,MU,1635713630
Busselton,-33.65,115.3333,54.05,54.09,65,93,20.04,AU,1635713338
Esna,25.2934,32.554,82.42,82.42,30,100,4.03,EG,1635713630
Tuktoyaktuk,69.4541,-133.0374,26.6,26.6,86,75,12.66,CA,1635713631
Cape Town,-33.9258,18.4232,64.31,66.09,70,75,1.99,ZA,1635713390
Bongouanou,6.6486,-4.1992,72.59,72.59,94,98,3.65,CI,1635713631
Los Llanos de Aridane,28.6585,-17.9182,65.12,65.95,79,20,6.91,ES,1635713632
Sur,22.5667,59.5289,82.0,82.0,60,0,12.39,OM,1635713632
São João da Barra,-21.6403,-41.0511,75.29,75.29,89,100,12.15,BR,1635713632
Saint-Pierre,-21.3393,55.4781,68.83,69.48,74,0,5.75,RE,1635713633
Yining,29.0361,114.5636,62.01,62.01,77,100,0.81,CN,1635713633
Katsuura,35.1333,140.3,60.17,61.2,88,86,9.51,JP,1635713634
Luorong,24.4058,109.6086,62.55,62.55,97,100,3.94,CN,1635713634
Longyearbyen,78.2186,15.6401,24.76,24.76,88,100,6.82,SJ,1635713634
Albany,42.6001,-73.9662,56.82,59.45,75,98,1.01,US,1635713635
Lavrentiya,65.5833,-171.0,12.25,12.25,83,4,12.12,RU,1635713635
Gorontalo,0.5412,123.0595,74.19,74.19,92,99,2.44,ID,1635713635
Paraty,-23.2178,-44.7131,76.1,76.1,99,100,3.31,BR,1635713636
Ushuaia,-54.8,-68.3,58.66,58.66,36,0,3.44,AR,1635713485
Gusinoye Ozero,51.1144,106.2614,29.21,29.21,76,97,3.58,RU,1635713636
Kruisfontein,-34.0033,24.7314,66.88,66.88,82,65,4.32,ZA,1635713637
San Patricio,28.017,-97.5169,82.9,88.48,38,0,12.91,US,1635713637
Mataura,-46.1927,168.8643,54.9,54.9,47,70,6.04,NZ,1635713637
Ibi,38.6253,-0.5723,67.5,71.22,60,100,15.48,ES,1635713638
Kiryat Gat,31.61,34.7642,79.29,83.08,35,49,15.1,IL,1635713638
Rikitea,-23.1203,-134.9692,73.51,73.51,87,71,8.1,PF,1635713486
Hong Kong,22.2855,114.1577,75.0,76.32,83,88,1.01,HK,1635713600
Harper,4.375,-7.7169,78.01,78.01,86,52,8.79,LR,1635713639
Ribeira Grande,38.5167,-28.7,68.4,68.4,88,75,4.61,PT,1635713639
Barrow,71.2906,-156.7887,24.3,24.3,93,100,16.91,US,1635713639
Bafut,6.0833,10.1,64.15,64.15,93,78,0.69,CM,1635713640
Khatanga,71.9667,102.5,5.74,5.74,96,100,10.78,RU,1635713481
Dickinson,29.4608,-95.0513,78.3,83.19,41,0,6.29,US,1635713640
Hilo,19.7297,-155.09,79.79,83.25,69,1,3.44,US,1635713486
Rocha,-34.4833,-54.3333,69.89,69.89,82,99,7.25,UY,1635713641
Prainha,-1.8,-53.48,84.96,84.96,62,75,1.59,BR,1635713641
Chokurdakh,70.6333,147.9167,-11.33,-11.33,100,99,5.95,RU,1635713642
Maceió,-9.6658,-35.7353,83.64,83.64,74,20,13.8,BR,1635713398
La Ronge,55.1001,-105.2842,34.05,35.82,60,75,10.36,CA,1635713643
Kaitangata,-46.2817,169.8464,53.58,53.58,52,77,7.34,NZ,1635713643
Punta Arenas,-53.15,-70.9167,59.11,59.11,38,0,11.5,CL,1635713643
Tabas,33.5959,56.9244,65.43,65.43,31,49,4.0,IR,1635713644
Norman Wells,65.282,-126.8329,21.24,21.24,93,75,4.61,CA,1635713644
Nikolskoye,59.7035,30.7861,45.19,47.01,85,100,7.67,RU,1635713644
Atuona,-9.8,-139.0333,78.6,78.6,76,5,20.76,PF,1635713485
Mount Isa,-20.7333,139.5,76.77,76.77,27,40,4.61,AU,1635713646
Leningradskiy,69.3833,178.4167,-0.06,-0.06,89,100,11.43,RU,1635713646
Kichera,55.9375,110.0997,24.75,24.75,94,93,3.09,RU,1635713646
Sinnamary,5.3833,-52.95,79.05,79.05,84,65,8.23,GF,1635713647
Port Alfred,-33.5906,26.891,66.54,66.54,83,81,15.77,ZA,1635713647
Tiksi,71.6872,128.8694,17.64,17.64,78,100,15.19,RU,1635713648
Sawtell,-30.3833,153.1,62.04,62.62,89,90,0.0,AU,1635713648
Vestmanna,62.1564,-7.1664,40.12,40.12,93,75,4.61,FO,1635713648
Ilhabela,-23.7781,-45.3581,69.71,69.71,96,100,8.93,BR,1635713649
Sola,-13.8833,167.55,80.56,80.56,74,20,14.05,VU,1635713649
Bengkulu,-3.8004,102.2655,76.23,76.23,88,100,5.01,ID,1635713649
Akot,21.0964,77.0586,65.95,65.95,54,9,4.32,IN,1635713650
Tasiilaq,65.6145,-37.6368,18.01,18.01,59,79,5.14,GL,1635713650
Kroya,-7.6331,109.2461,76.91,76.91,92,100,3.91,ID,1635713651
Nanortalik,60.1432,-45.2371,34.03,34.03,74,63,10.71,GL,1635713651
Puerto Ayora,-0.7393,-90.3518,72.32,72.32,79,40,8.43,EC,1635713651
Vostok,46.4856,135.8833,26.37,26.37,95,15,1.32,RU,1635713652
Orahovac,42.3994,20.6547,39.24,47.91,73,0,1.97,XK,1635713652
Cabo San Lucas,22.8909,-109.9124,86.49,88.61,69,7,6.69,MX,1635713631
Nagua,19.3832,-69.8474,87.87,92.44,66,20,4.61,DO,1635713652
Taksimo,56.3444,114.8794,21.02,21.02,75,87,0.74,RU,1635713653
Westport,41.1415,-73.3579,62.55,65.17,71,62,7.0,US,1635713653
Bose,45.4612,8.0137,47.46,50.2,97,100,1.07,IT,1635713654
Diego de Almagro,-26.3667,-70.05,75.27,75.27,18,0,13.71,CL,1635713654
Vardø,70.3705,31.1107,35.58,35.58,87,75,19.57,NO,1635713654
Rio Brilhante,-21.8019,-54.5464,79.99,79.99,66,59,8.48,BR,1635713655
Coahuayana Viejo,18.7333,-103.6833,86.36,86.36,63,68,6.31,MX,1635713655
Poum,-20.2333,164.0167,75.15,75.15,67,13,15.19,NC,1635713655
Avarua,-21.2078,-159.775,77.05,77.05,69,75,12.66,CK,1635713656
Waipawa,-41.4122,175.5153,53.64,56.03,72,97,3.96,NZ,1635713656
Qaanaaq,77.484,-69.3632,12.36,12.36,69,100,7.65,GL,1635713657
Albanel,48.8832,-72.4487,46.4,47.68,93,100,5.75,CA,1635713657
Awjilah,29.1081,21.2869,67.68,67.68,72,84,8.28,LY,1635713657
Kununurra,-15.7667,128.7333,76.98,76.98,83,30,5.75,AU,1635713658
Castro,-24.7911,-50.0119,60.26,60.26,96,98,6.02,BR,1635713658
Anadyr,64.75,177.4833,-7.01,-7.01,76,20,11.01,RU,1635713659
Talnakh,69.4865,88.3972,-10.8,-10.8,99,89,5.93,RU,1635713659
Kenai,60.5544,-151.2583,44.62,45.14,81,90,8.05,US,1635713659
